cluster,Country
2,AFG
2,ALB
3,ARG
3,AUS
3,AUT
3,BEL
2,BEN
1,BFA
2,BGR
2,BLR
3,BOL
3,BRA
2,CAF
3,CAN
3,CHL
2,CIV
1,CMR
1,COD
1,COG
3,COL
3,CRI
2,CSK
2,CUB
1,CYP
3,DNK
3,DOM
3,ECU
2,EGY
3,ESP
2,ETH
1,FIN
3,FRA
1,GAB
3,GBR
2,GHA
2,GIN
3,GRC
3,GTM
3,HND
3,HTI
2,HUN
2,IDN
2,IND
1,IRL
3,IRN
2,IRQ
3,ISL
2,ISR
3,ITA
1,JOR
3,JPN
1,KHM
2,LAO
1,LBN
1,LBR
2,LBY
2,LKA
3,LUX
2,MAR
2,MDG
1,MEX
2,MLI
2,MMR
1,MYS
2,NER
2,NGA
3,NIC
3,NLD
3,NOR
2,NPL
3,NZL
3,PAK
3,PAN
3,PER
3,PHL
2,POL
3,PRT
3,PRY
2,ROU
2,RUS
2,SAU
2,SDN
1,SEN
3,SLV
2,SOM
1,SWE
2,TCD
2,TGO
3,THA
1,TUN
3,TUR
3,TWN
2,UKR
3,URY
3,USA
3,VEN
2,YUG
1,ZAF
